name,desc,website,location,employees,raised,angel_url,angel_id
Magnar,Portuguese food-ordering marketplace,https://angel.co/magnar,Lisbon,-,-,http://www.magnarapp.com/,3322647
Cleargraph,Zero-friction identity verification,https://angel.co/cleargraphinc,San Francisco,1-10,-,https://cleargraph.com/careers.html,3405248
Princeton Ventures,Princeton Ventures leads growth equity investments of $10 million to over $100 million.,https://angel.co/princeton-ventures,Princeton,1-10,-,http://www.princetonventures.com,3365754
Kylie.ai,Kylie Leverages AI to Clone Enterprise Support Agents to Automate Conversations,https://angel.co/kylieai,San Francisco,1-10,-,http://www.kylie.ai,3399236
Vertical AI,Advanced Computer Vision and AI for Augmented Reality,https://angel.co/verticalai,Kitchener,1-10,"$1,500,000",http://vertical.ai,458987
IFTTT,Do more with the services you love,https://angel.co/ifttt,San Francisco,11-50,"$37,000,000",https://ifttt.com,26564
SoundBetter,Music Services Marketplace,https://angel.co/soundbetter,New York City,1-10,-,https://soundbetter.com,250019
Airtime,All Together Now,https://angel.co/airtime,Brooklyn,11-50,"$41,750,000",https://airtime.com/,71915
CrowdFlower,The essential human-in-the-loop platform for data science teams,https://angel.co/crowdflower,San Francisco,51-200,"$38,000,000",http://www.crowdflower.com,32119
Ripple,"Instant, certain, low-cost cross-border payments.",https://angel.co/ripple-labs,San Francisco,51-200,"$86,500,000",http://www.ripple.com,197974
Pinterest,"Discover recipes, home ideas, style inspiration and other ideas to try.",https://angel.co/pinterest,San Francisco,501-1000,"$1,448,500,000",http://www.pinterest.com,281
RevCascade,Marketplace automation for brands and retailers,https://angel.co/revcascade,New York City,1-10,-,http://www.revcascade.com,669329
Pomello,Data-Driven HR Platform,https://angel.co/pomello,San Francisco,1-10,"$28,000",http://www.pomello.com,646148
HackerRank,Match every developer to the right job!,https://angel.co/hackerrank,Palo Alto,51-200,"$19,900,000",https://hackerrank.com,411231
Revfluence,Scalable Content Powered by Influencers,https://angel.co/revfluence,San Francisco,11-50,"$2,400,000",http://www.revfluence.com/?utm_source=angellist,517211
Freebird,Travel empowered,https://angel.co/getfreebird,Cambridge,11-50,"$8,500,000",http://www.getfreebird.com,881502
Binti,Helping children join loving families,https://angel.co/binti,San Francisco,1-10,-,https://binti.com,355421
Mux,Build better video: Stream and measure video on any device,https://angel.co/mux,San Francisco,11-50,"$11,800,000",https://mux.com,2084485
Rocksbox,Transforming the way women discover and buy jewelry.,https://angel.co/rocksbox,San Francisco,11-50,"$10,200,000",http://www.rocksbox.com,81947
AnyRoad,Experience Relationship Management.,https://angel.co/anyroad,San Francisco,11-50,-,http://anyroad.com,111266
Orion,Orion is a platform for real-time voice communication everywhere. ,https://angel.co/orion-labs,San Francisco,11-50,"$33,500,000",https://www.orionlabs.io,183029
Taulia,"Connecting businesses to boost worldwide economic growth, one invoice at a time",https://angel.co/taulia,San Francisco,201-500,"$142,800,000",http://www.taulia.com,639
PlushCare,"Get diagnosed, treated, and prescribed medication by top doctors via smartphone now. ",https://angel.co/plushcare,San Francisco,11-50,"$8,880,000",http://www.plushcare.com,402108
Thunder,"Enable digital marketing creative agility, personalization, and optimization.",https://angel.co/thunder,Bellevue,51-200,"$9,700,000",http://makethunder.com/,32865
Paintzen,Online Marketplace For Home and Office Painting,https://angel.co/paintzen,New York City,11-50,"$9,220,000",http://www.paintzen.com,208839
